"removal_fraction","rep","n_sites_kept","n_predators","n_resources","n_realised_links","n_cooc_links","n_expected_links_raw","n_expected_links_conditioned","divergence_raw","relative_divergence_raw","divergence_conditioned","relative_divergence_conditioned","mean_abs_species_error_raw","mean_abs_species_error_conditioned"
0.1,32,337,124,93,887,2999,814.609280326891,852.802899909077,72.3907196731087,0.0888655720249828,34.1971000909234,0.0400996526800852,1.787904866533,1.72160491128384
0.1,33,337,117,94,879,2933,808.245432418471,842.988595851008,70.7545675815292,0.0875409433120011,36.0114041489918,0.042718732289181,2.00674112864469,1.92429740740157
0.1,34,337,118,94,883,2966,806.265699143918,841.526311080806,76.7343008560824,0.0951724734632242,41.4736889191936,0.0492838885404869,1.84728905738916,1.76449511110707
0.1,35,337,120,93,907,3029,836.07545546383,871.732675747589,70.9245445361703,0.0848303153413629,35.2673242524106,0.0404565817406875,1.82914344678415,1.77877389798444
0.1,36,337,121,94,898,3072,851.971175951634,886.881445724612,46.0288240483659,0.0540262691363386,11.1185542753883,0.012536686080183,1.75200428043172,1.69799386472352
0.1,37,337,124,94,922,3099,858.609782213939,896.329642289011,63.3902177860613,0.0738289023712362,25.6703577109887,0.0286394162369023,1.80209739469024,1.72747272869253
0.1,38,337,112,94,870,2820,790.882736414555,825.220550795578,79.1172635854455,0.100036655173587,44.7794492044221,0.0542636137227208,1.91464821420737,1.79949656687419
0.1,39,337,124,94,892,3043,845.232717948354,882.675211772983,46.7672820516462,0.0553306575320051,9.32478822701717,0.0105642348427197,1.8239992141725,1.7652211555483
0.1,40,337,122,93,892,3055,831.716167709053,867.64022333552,60.2838322909472,0.0724812557834459,24.3597766644797,0.0280758959869702,1.81459181737308,1.7690942011447
0.1,41,337,123,94,907,3113,863.215851837582,898.408498985566,43.7841481624179,0.0507221317463202,8.59150101443356,0.00956302286113122,1.8029086480184,1.75778791989524
0.1,42,337,119,93,895,2965,816.964482440521,852.65444170172,78.0355175594793,0.0955188618804621,42.3455582982805,0.0496632119968409,1.85935208873353,1.78843126479412
0.1,43,337,123,94,907,3079,847.999145689172,884.919220073255,59.000854310828,0.0695765492344663,22.0807799267453,0.0249523113815038,1.84162298832678,1.78089713508297
0.1,44,337,119,94,877,2931,803.518448597236,840.626688703745,73.4815514027639,0.0914497377515679,36.373311296255,0.0432692796755514,1.81083778965632,1.72409094588986
0.1,45,337,123,94,914,3081,862.847900377616,900.075585892572,51.1520996223841,0.0592828696691479,13.924414107428,0.0154702719701253,1.8218401202959,1.74262419008505
0.1,46,337,117,94,899,3013,840.606714669497,873.499224859546,58.3932853305029,0.069465642269419,25.5007751404544,0.0291938154204485,1.87404181603505,1.82802364360887
0.1,47,337,117,93,882,2870,795.789679113262,831.07432478176,86.2103208867383,0.10833304722273,50.9256752182403,0.0612769203664346,1.87434374426479,1.78135206239196
0.1,48,337,125,93,924,3132,877.557376971985,914.807797906176,46.4426230280151,0.0529226056856425,9.19220209382365,0.0100482332079622,1.83442189081453,1.77597174827645
0.1,49,337,126,94,914,3108,857.512149750496,895.988843272833,56.4878502495042,0.0658741106653008,18.0111567271667,0.0201019877227224,1.82188531464141,1.76050506610735
0.1,50,337,119,92,859,2876,779.911741810255,816.112002589351,79.0882581897453,0.10140667712756,42.8879974106489,0.052551607223732,1.93508153966276,1.84975701198593
0.1,51,337,122,94,893,3025,849.09191950345,886.041610987504,43.9080804965502,0.0517118105684337,6.95838901249624,0.00785334337147105,1.8320852591307,1.7806797977205
0.1,52,337,125,94,911,3069,847.504762280185,885.469603350921,63.495237719815,0.0749202134852706,25.5303966490789,0.028832606508979,1.81223281796984,1.75118573892658
