"model_rep","n_links","mean_interacting_sites","median_interacting_sites","q95_interacting_sites","max_interacting_sites","proportion_single_site_links","mean_repeatability","median_repeatability"
40,907,1.36934950385888,1,3,7,0.743109151047409,0.432706492311875,0.333333333333333
41,905,1.37237569060773,1,3,5,0.750276243093923,0.428680399532471,0.333333333333333
42,901,1.38956714761376,1,3,7,0.735849056603774,0.42155247992928,0.333333333333333
43,887,1.37767756482525,1,3,8,0.74859075535513,0.423457333711221,0.333333333333333
44,911,1.39297475301866,1,3,7,0.762897914379802,0.434391652963993,0.333333333333333
45,895,1.39664804469274,1,3,7,0.73072625698324,0.421084448669871,0.333333333333333
46,930,1.38924731182796,1,3,8,0.740860215053763,0.434558660200471,0.333333333333333
47,890,1.3247191011236,1,3,7,0.779775280898876,0.416138564739902,0.333333333333333
48,876,1.36643835616438,1,3,7,0.756849315068493,0.414491867741513,0.333333333333333
49,894,1.39597315436242,1,3,8,0.738255033557047,0.420581363107624,0.333333333333333
50,867,1.37139561707036,1,3,8,0.753171856978085,0.431193989509409,0.333333333333333
51,897,1.3901895206243,1,3,6,0.74247491638796,0.444324010796223,0.333333333333333
52,887,1.40473506200676,1,3,7,0.750845546786922,0.437126804122019,0.333333333333333
53,865,1.35260115606936,1,3,7,0.767630057803468,0.416697153181193,0.333333333333333
54,931,1.39634801288937,1,3,5,0.729323308270677,0.427288536565567,0.333333333333333
55,906,1.38852097130243,1,3,7,0.736203090507726,0.427490582939761,0.333333333333333
56,912,1.38706140350877,1,3,8,0.742324561403509,0.431221175758516,0.333333333333333
57,879,1.41183162684869,1,3,6,0.738339021615472,0.436082371869588,0.333333333333333
58,890,1.41348314606742,1,3,8,0.737078651685393,0.430914850780735,0.333333333333333
59,903,1.40199335548173,1,3,6,0.744186046511628,0.434801526846786,0.333333333333333
60,868,1.37903225806452,1,3,7,0.73963133640553,0.419709895290037,0.333333333333333
61,891,1.34567901234568,1,3,6,0.7665544332211,0.415301468100299,0.333333333333333
62,942,1.40021231422505,1,3,10,0.746284501061571,0.423714414833506,0.333333333333333
63,897,1.38795986622074,1,3,6,0.743589743589744,0.427529303604484,0.333333333333333
64,947,1.33579725448786,1,3,8,0.761351636747624,0.435489756128823,0.333333333333333
65,926,1.37904967602592,1,3,6,0.73110151187905,0.430766453924519,0.333333333333333
66,933,1.35584137191854,1,3,9,0.769560557341908,0.421911750005148,0.333333333333333
67,913,1.4118291347207,1,3,7,0.750273822562979,0.427934217678795,0.333333333333333
68,898,1.41982182628062,1,3,8,0.746102449888641,0.429813036800013,0.333333333333333
69,904,1.39601769911504,1,3,8,0.736725663716814,0.426052465317105,0.333333333333333
70,930,1.36344086021505,1,3,6,0.753763440860215,0.42450155683242,0.333333333333333
71,895,1.39664804469274,1,3,8,0.743016759776536,0.431592710853373,0.333333333333333
72,902,1.38137472283814,1,3,7,0.742793791574279,0.417988214556458,0.292857142857143
73,933,1.39442658092176,1,3,7,0.7491961414791,0.427948804083267,0.333333333333333
74,884,1.35633484162896,1,3,7,0.755656108597285,0.409704858219056,0.285714285714286
75,941,1.33793836344315,1,3,8,0.763018065887354,0.431933165220858,0.333333333333333
76,918,1.34640522875817,1,3,6,0.760348583877996,0.43104889260428,0.333333333333333
77,914,1.37527352297593,1,3,8,0.75382932166302,0.446336446637749,0.333333333333333
78,932,1.41952789699571,1,3,10,0.728540772532189,0.429069023957087,0.333333333333333
79,915,1.40983606557377,1,3,7,0.737704918032787,0.429068197737558,0.333333333333333
80,916,1.39410480349345,1,3,6,0.747816593886463,0.428783922794759,0.333333333333333
81,877,1.38996579247434,1,3,8,0.748004561003421,0.422908303732405,0.307692307692308
82,864,1.33449074074074,1,3,6,0.755787037037037,0.404712681691692,0.292857142857143
83,897,1.37569676700111,1,3,7,0.755852842809365,0.42912799126584,0.333333333333333
84,867,1.39446366782007,1,3,6,0.756632064590542,0.410039326406292,0.333333333333333
85,891,1.37822671156004,1,3,6,0.744107744107744,0.44407907359888,0.333333333333333
86,868,1.34677419354839,1,3,6,0.758064516129032,0.423832779351812,0.333333333333333
87,932,1.3637339055794,1,3,8,0.765021459227468,0.436318794027992,0.333333333333333
88,873,1.42153493699885,1,3,7,0.729667812142039,0.429707479530448,0.333333333333333
89,948,1.39978902953587,1,3,7,0.738396624472574,0.436517749606395,0.333333333333333
90,932,1.40021459227468,1,3,7,0.739270386266094,0.442004505278851,0.333333333333333
91,888,1.41554054054054,1,3,7,0.730855855855856,0.420785009300926,0.285714285714286
92,860,1.4046511627907,1,3,7,0.736046511627907,0.418202548532194,0.333333333333333
93,859,1.40046565774156,1,3,8,0.750873108265425,0.419751380654495,0.3
94,896,1.40513392857143,1,3,12,0.736607142857143,0.424399511827049,0.333333333333333
95,897,1.41025641025641,1,3,7,0.738015607580825,0.410466746121192,0.285714285714286
96,887,1.41488162344983,1,3,9,0.756482525366404,0.423460791767991,0.3
97,881,1.37684449489217,1,3,10,0.746878547105562,0.422596041059397,0.3
98,888,1.40878378378378,1,3,7,0.746621621621622,0.42797045066207,0.333333333333333
99,874,1.40045766590389,1,3,6,0.729977116704805,0.423332395667135,0.333333333333333
