"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability","source","model_rep"
"Chalci","Elappo",19,23,0.826086956521739,"empirical",NA
"Chalci","Emucro",10,13,0.769230769230769,"empirical",NA
"Chalci","Emyrsi",8,10,0.8,"empirical",NA
"Chalci","Emyrti",5,5,1,"empirical",NA
"Chalci","Enigri",2,3,0.666666666666667,"empirical",NA
"Chalci","Ephyli",3,5,0.6,"empirical",NA
"Chalci","Epurpu",4,10,0.4,"empirical",NA
"Chalci","Esmyrs",2,3,0.666666666666667,"empirical",NA
"Chalci","Esmyrt",4,4,1,"empirical",NA
"Chalci","Esubge",1,2,0.5,"empirical",NA
"Chalci","Etesta",5,6,0.833333333333333,"empirical",NA
"Chalci","Evenus",4,11,0.363636363636364,"empirical",NA
"Chalci","Eweiff",5,6,0.833333333333333,"empirical",NA
"Chalci","Hacuti",1,9,0.111111111111111,"empirical",NA
"Chalci","Halien",1,10,0.1,"empirical",NA
"Chalci","Hangli",2,11,0.181818181818182,"empirical",NA
"Chalci","Hcarin",1,4,0.25,"empirical",NA
"Chalci","Heryth",1,7,0.142857142857143,"empirical",NA
"Chalci","Hischn",1,16,0.0625,"empirical",NA
"Chalci","Hleuca",4,23,0.173913043478261,"empirical",NA
"Chalci","Hleuco",1,10,0.1,"empirical",NA
"Chalci","Hoblit",1,12,0.0833333333333333,"empirical",NA
"Chalci","Hplicg",4,20,0.2,"empirical",NA
"Chalci","Hpruss",1,21,0.0476190476190476,"empirical",NA
"Chalci","Hpurpu",1,7,0.142857142857143,"empirical",NA
"Chalci","Hspira",1,5,0.2,"empirical",NA
"Chalci","Oaacut",1,1,1,"empirical",NA
"Chalci","Oadaph",16,19,0.842105263157895,"empirical",NA
"Chalci","Oarcti",11,15,0.733333333333333,"empirical",NA
"Chalci","Obella",5,8,0.625,"empirical",NA
"Chalci","Obrevi",3,3,1,"empirical",NA
"Chalci","Obridg",24,30,0.8,"empirical",NA
"Chalci","Ocolla",9,10,0.9,"empirical",NA
"Chalci","Odolic",9,13,0.692307692307692,"empirical",NA
"Chalci","Oelaea",3,3,1,"empirical",NA
"Chalci","Ofoeti",11,13,0.846153846153846,"empirical",NA
"Chalci","Ogalla",10,13,0.769230769230769,"empirical",NA
"Chalci","Oglabr",8,12,0.666666666666667,"empirical",NA
"Chalci","Oglauc",4,6,0.666666666666667,"empirical",NA
"Chalci","Ohasta",16,23,0.695652173913043,"empirical",NA
"Chalci","Ohelve",2,3,0.666666666666667,"empirical",NA
"Chalci","Oherba",5,7,0.714285714285714,"empirical",NA
"Chalci","Okriec",11,13,0.846153846153846,"empirical",NA
"Chalci","Olappl",10,16,0.625,"empirical",NA
"Chalci","Olappo",11,16,0.6875,"empirical",NA
"Chalci","Omacul",8,10,0.8,"empirical",NA
"Chalci","Omonti",4,4,1,"empirical",NA
"Chalci","Omyrsi",7,8,0.875,"empirical",NA
"Chalci","Omyrti",3,3,1,"empirical",NA
"Chalci","Onigri",10,12,0.833333333333333,"empirical",NA
"Chalci","Onival",21,24,0.875,"empirical",NA
"Chalci","Onorve",4,4,1,"empirical",NA
"Chalci","Oobscu",13,15,0.866666666666667,"empirical",NA
"Chalci","Opedun",8,9,0.888888888888889,"empirical",NA
"Chalci","Opprox",2,2,1,"empirical",NA
"Chalci","Oproxi",22,24,0.916666666666667,"empirical",NA
"Chalci","Opustu",2,3,0.666666666666667,"empirical",NA
"Chalci","Oretic",6,8,0.75,"empirical",NA
"Chalci","Oretus",6,6,1,"empirical",NA
"Chalci","Osamol",12,15,0.8,"empirical",NA
"Chalci","Ospeit",2,2,1,"empirical",NA
"Chalci","Ospset",3,3,1,"empirical",NA
"Chalci","Otrian",3,6,0.5,"empirical",NA
"Chalci","Ovaria",32,34,0.941176470588235,"empirical",NA
"Chalci","Ovesic",16,20,0.8,"empirical",NA
"Chalci","Ovimin",32,37,0.864864864864865,"empirical",NA
"Chalci","Oviril",9,11,0.818181818181818,"empirical",NA
"Cincer","Emyrsi",1,1,1,"empirical",NA
"Cincer","Obridg",1,1,1,"empirical",NA
"Claevi","Elappc",1,5,0.2,"empirical",NA
"Claevi","Emucro",1,1,1,"empirical",NA
"Claevi","Obella",1,1,1,"empirical",NA
"Claevi","Obridg",1,3,0.333333333333333,"empirical",NA
"Claevi","Ofoeti",1,2,0.5,"empirical",NA
"Claevi","Oglauc",2,2,1,"empirical",NA
"Claevi","Olappl",4,6,0.666666666666667,"empirical",NA
"Claevi","Omacul",1,1,1,"empirical",NA
"Claevi","Onigri",1,3,0.333333333333333,"empirical",NA
"Claevi","Oobscu",1,2,0.5,"empirical",NA
"Cnrsub","Onigri",1,1,1,"empirical",NA
"Coreop","Hplicg",1,2,0.5,"empirical",NA
"Coreop","Olappl",1,1,1,"empirical",NA
"Croman","Halien",1,1,1,"empirical",NA
"Croman","Hischn",1,1,1,"empirical",NA
"Croman","Hplicg",1,2,0.5,"empirical",NA
"Croman","Olappl",1,1,1,"empirical",NA
"Csalic","Enigri",1,1,1,"empirical",NA
