"","species","interactions","potential_prey","prob_expected","prob_int","expected_indegree","relative_N_alpha"
"187","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"188","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"189","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"190","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"191","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"192","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"193","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"194","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"195","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"196","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"197","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"198","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"199","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"200","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"201","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"202","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"203","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"204","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"205","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"206","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"207","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"208","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"209","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"210","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"211","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"212","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"213","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"214","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"215","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"216","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"217","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"218","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"219","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"220","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"221","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"222","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"223","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
