"model_rep","n_links","mean_interacting_sites","median_interacting_sites","q95_interacting_sites","max_interacting_sites","proportion_single_site_links","mean_repeatability","median_repeatability"
437,109,1.21100917431193,1,2,4,0.825688073394495,0.382140418053589,0.266666666666667
438,111,1.31531531531532,1,2.5,4,0.756756756756757,0.333170757102646,0.25
439,114,1.21929824561404,1,2,4,0.842105263157895,0.350279135171794,0.25
440,120,1.19166666666667,1,2,4,0.85,0.356455366263996,0.25
441,110,1.25454545454545,1,2.55,4,0.827272727272727,0.350212808292811,0.242647058823529
442,127,1.20472440944882,1,2,3,0.826771653543307,0.330648649129244,0.25
443,103,1.29126213592233,1,2.89999999999999,4,0.786407766990291,0.381162751686513,0.25
444,117,1.26495726495726,1,2,4,0.794871794871795,0.367540219689342,0.25
445,109,1.1743119266055,1,2,4,0.862385321100917,0.353506748748107,0.25
446,109,1.21100917431193,1,2.59999999999999,3,0.844036697247706,0.347426689813218,0.25
447,112,1.21428571428571,1,2,4,0.830357142857143,0.324206404750896,0.25
448,115,1.28695652173913,1,2.3,5,0.8,0.393405834298216,0.285714285714286
449,98,1.18367346938776,1,2,3,0.846938775510204,0.34332787512362,0.225
450,106,1.32075471698113,1,3,4,0.783018867924528,0.367321048412745,0.25
451,115,1.17391304347826,1,2.3,3,0.878260869565217,0.347152842192282,0.25
452,102,1.25490196078431,1,2,6,0.803921568627451,0.32739581337742,0.245
453,110,1.16363636363636,1,2,2,0.836363636363636,0.335059419838691,0.25
454,112,1.27678571428571,1,2,4,0.785714285714286,0.340699462001707,0.25
455,119,1.32773109243697,1,3,5,0.773109243697479,0.38592503349027,0.25
456,112,1.22321428571429,1,2,5,0.830357142857143,0.406566568214208,0.30952380952381
457,84,1.25,1,2,4,0.821428571428571,0.317926704307454,0.2
458,96,1.26041666666667,1,2.25,4,0.8125,0.342133814184898,0.218253968253968
459,93,1.35483870967742,1,3,5,0.752688172043011,0.377963703102273,0.25
460,98,1.31632653061224,1,3,5,0.816326530612245,0.345330896997669,0.25
461,114,1.35087719298246,1,3,4,0.728070175438597,0.314368599870066,0.25
462,110,1.27272727272727,1,2,5,0.809090909090909,0.393840529353687,0.30952380952381
463,96,1.33333333333333,1,3,4,0.739583333333333,0.382240971747551,0.25
464,108,1.25925925925926,1,3,3,0.814814814814815,0.356559317994432,0.25
465,94,1.19148936170213,1,2,3,0.829787234042553,0.347213479236073,0.25
466,99,1.31313131313131,1,2.09999999999999,5,0.757575757575758,0.339440899327849,0.25
467,105,1.2,1,2,4,0.857142857142857,0.430499424543874,0.333333333333333
